idx,gid,rayon_id,rayon_en,rayon_ru,oblast_id,oblast_en,oblast_ru,country_id
2392,236,3502236,Shahrtuz,Шартузский,3502,Khatlon,Хатлонская,TJK
50,50,1735209,Bozatauz,Бозатаузский,1735,Karakalpakstan Republik,Республика Каракалпакстан,UZB
82,82,3907208,Eloten,Елотенский,3907,Mary,Марыйская,TKM
449,141,3908229,Khalach,Халачский,3908,Lebap,Лебапская,TKM
488,180,1708223,Mirzachul,Мирзачульский,1708,Djizakh,Джизакская,UZB
487,179,1724228,Mirzaabad,Мирзаабдский,1724,Sirdarya,Сырдарьинская,UZB
3508,120,5005031,Kalafgan,Kalafgan,5005,Takhar,Takhar,AFG
310,2,1724206,Akaltyn,Акалтынский,1724,Sirdarya,Сырдарьинская,UZB
602,294,1708225,Zafarabad,Зафарабадский,1708,Djizakh,Джизакская,UZB
412,104,3502227,Hamadoni,Хамадони,3502,Khatlon,Хатлонская,TJK
2474,10,5003022,Ali abad,Ali abad,5003,Kunduz,Kunduz,AFG
4972,44,1730215,Besharyk,Бешарыкский,1730,Fergana,Ферганская,UZB
189,189,1712230,Navbahor,Навбвхорский,1712,Navoi,Навоийская,UZB
463,155,3503206,Konibodom,Канибадамский,3503,Sogd,Согдийская,TJK
2974,202,1718224,Paiaryk,Пайарыкский,1718,Samarkand,Самаркандская,UZB
3460,72,5001011,Dawlat abad,Dawlat abad,5001,Balkh,Balkh,AFG
585,277,3509237,Vahdat,Вахдатский,3509,RPP,Районы Республиканского по,TJK
499,191,3907221,Niyazov,Ниязовский,3907,Mary,Марыйская,TKM
333,25,3503212,B.Ghafurov,Б.Гафуровский,3503,Sogd,Согдийская,TJK
1612,72,5001011,Dawlat abad,Dawlat abad,5001,Balkh,Balkh,AFG
507,199,1958207,Ordabasin,Ордабасынский район,1958,South-Kazakhstan,Южно-Казахстанская,KAZ
1582,42,1727220,Bekabad,Бекабадский,1727,Tashkent region,Ташкентская,UZB
513,205,3502231,Panj,Пянжский,3502,Khatlon,Хатлонская,TJK
329,21,1958205,Arys,Арыс г.а.,1958,South-Kazakhstan,Южно-Казахстанская,KAZ
5081,153,1727248,Kibray,Кибрайский,1727,Tashkent region,Ташкентская,UZB
